"file_name","text"
"image_1.jpg","A Ben DS 400mg Tablet"
"image_3.jpg","A-meb 135mg Tablet"
"image_4.jpg","ABO Kit 200mg+200mcg Tablet"
"image_5.jpg","Ace (Orange) 120mg/5ml syrup"
"image_6.jpg","Aceclofenac 100mg Tablet"
"image_7.jpg","Isotrin 20mg Capsule"
"image_8.jpg","Acerux 200mg Tablet"
"image_9.jpg","Acical 500mg Tablet"
"image_10.jpg","Acical JR 250mg Tablet"
"image_11.jpg","Acical MX 600mg+500IU+Minerals Tablet"
"image_12.jpg","Acical-D 500mg+200IU Tablet"
"image_13.jpg","Acifix 20mg Tablet"
"image_14.jpg","Nabumax 750mg Tablet"
"image_16.jpg","Acupain 10mg Tablet"
"image_17.jpg","Adaben Duo Gel 0.1% + 2.5% Gel"
"image_18.jpg","Adlinameg 500 2.5mg+500mg Tablet"
"image_19.jpg","Adora 500mg Capsule"
"image_21.jpg","Aenixit 500mcg+10mg Tablet"
"image_22.jpg","Agotin 25mg Tablet"
"image_23.jpg","Alat 10mg Tablet"
"image_24.jpg","Albendazole-DS 400mg Tablet"
"image_26.jpg","Alestor 5mg Tablet"
"image_28.jpg","Alfux DS 500mg Capsule"
"image_30.jpg","Alprax XR 2mg Tablet"
"image_31.jpg","Alton 20mg Tablet"
"image_32.jpg","Alvenor 500 450mg+50mg Tablet"
"image_33.jpg","Alvenor 1000 900mg+100mg Tablet"
"image_34.jpg","Amantril 100mg Capsule"
"image_35.jpg","Ambronil 15mg/5ml Syrup"
"image_36.jpg","A-Meb 135mg Tablet"
"image_38.jpg","Amlovas VS 10/160 10mg+160mg Tablet"
"image_39.jpg","Renapine XR 200mg Tablet"
"image_41.jpg","Ampre 5mg Tablet"
"image_42.jpg","Amtinol Plus 50 5mg+50mg Tablet"
"image_43.jpg","Anacaine HC (5mg+30mg)/gm Cream"
"image_44.jpg","Anaflex 250mg Tablet"
"image_45.jpg","Anaflex 500mg Tablet"
"image_46.jpg","Anaflex Max 500mg+20mg Tablet"
"image_47.jpg","Anapril 10mg Tablet"
"image_48.jpg","Anapril 5mg Tablet"
"image_50.jpg","Anaroxyl 2.5mg Tablet"
"image_51.jpg","Ancor 10mg Tablet"
"image_52.jpg","Ancor 2.5 2.5mg Tablet"
"image_53.jpg","Ancor 5mg Tablet"
"image_54.jpg","Ancor Plus 2.5 2.5mg+6.25mg Tablet"
"image_55.jpg","Ancor Plus 5mg+6.25mg Tablet"
"image_56.jpg","Andep 100mg Tablet"
"image_57.jpg","Andep 50mg Tablet"
"image_58.jpg","Andep 25mg Tablet"
"image_60.jpg","Angenta 500mcg+10mg Tablet"
"image_61.jpg","Angilock 100mg tablet"
"image_62.jpg","Angirid MR 35mg Tablet"
"image_64.jpg","Anilic 200mg Tablet"
"image_65.jpg","Anin 50mg Tablet"
"image_66.jpg","Anin 50 Plus 12.5mg+50mg Tablet"
"image_67.jpg","Anlet 75mg Tablet"
"image_68.jpg","Anquil 15mg Tablet"
"image_69.jpg","Anquil 7.5 7.5mg Tablet"
"image_70.jpg","Anreb 25mg Tablet"
"image_71.jpg","Anreb PLUS 12.5/50 12.5mg+50mg Tablet"
"image_72.jpg","Anril SR 2.6mg Tablet"
"image_73.jpg","Anset 4mg/5ml Syrup"
"image_74.jpg","Anset 8mg Tablet"
"image_78.jpg","Antigall 150mg Tablet"
"image_79.jpg","Antigall 300mg Tablet"
"image_80.jpg","Antista 2mg/5ml Syrup"
"image_81.jpg","Antrenex 5mg Tablet"
"image_82.jpg","Apetiz 160mg Tablet"
"image_83.jpg","Apidone 10mg Tablet"
"image_85.jpg","Aprima 10mg Tablet"
"image_86.jpg","Aprocin 250mg/5ml Powder for Suspension"
"image_87.jpg","Aprocin 500mg Tablet"
"image_88.jpg","Aptin 50mg Tablet"
"image_89.jpg","Aptin M 500mg+50mg Tablet"
"image_90.jpg","Apuldon 10mg Tablet"
